group,access,bicycle_parking,lit,covered,locked,total_locations,total_capacity
BIOMEDICAL_IMAGING,nil,nil,nil,nil,nil,1,0
BUILDINGS_AND_PROPERTY,nil,lockers,nil,nil,nil,1,2
BUILDINGS_AND_PROPERTY,nil,stands,nil,nil,nil,1,4
CAMPUS_CENTRE,nil,nil,nil,nil,nil,1,0
CAMPUS_CENTRE,nil,stands,nil,no,nil,2,8
CAMPUS_CENTRE,nil,stands,no,no,nil,1,12
CAMPUS_CENTRE,nil,stands,yes,no,nil,3,46
EXT_151_WELLINGTON_RD,nil,nil,nil,nil,nil,1,8
EXT_211_WELLINGTON_RD,nil,nil,nil,nil,nil,2,22
EXT_211_WELLINGTON_RD,private,nil,nil,nil,nil,1,28
EXT_264_FERNTREE_GULLY_RD,nil,stands,nil,no,nil,1,0
FACULTY_OF_ART_ARTS_LAW,nil,stands,nil,no,nil,2,20
FACULTY_OF_ART_ARTS_LAW,nil,stands,no,no,nil,2,18
FACULTY_OF_ART_ARTS_LAW,nil,stands,no,yes,nil,1,8
FACULTY_OF_ART_ARTS_LAW,nil,stands,yes,yes,nil,2,88
FACULTY_OF_EDUCATION,nil,stands,nil,yes,nil,4,15
FACULTY_OF_EDUCATION,nil,stands,yes,yes,nil,1,28
FACULTY_OF_ENGINEERING_IT,nil,nil,nil,nil,nil,6,148
FACULTY_OF_ENGINEERING_IT,nil,stands,nil,nil,nil,2,46
FACULTY_OF_ENGINEERING_IT,nil,stands,nil,yes,nil,1,8
FACULTY_OF_ENGINEERING_IT,nil,stands,yes,no,nil,3,52
FACULTY_OF_ENGINEERING_IT,nil,stands,yes,yes,nil,1,26
FACULTY_OF_ENGINEERING_IT,nil,wall_loops,yes,yes,nil,1,10
FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,nil,nil,nil,nil,nil,3,42
FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,nil,nil,yes,no,nil,1,6
FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,nil,stands,nil,no,nil,2,12
FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,nil,stands,nil,yes,nil,2,30
FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,nil,stands,yes,no,nil,4,30
FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,nil,stands,yes,yes,nil,3,36
FACULTY_OF_SCIENCE,nil,nil,nil,nil,nil,11,141
FACULTY_OF_SCIENCE,nil,stands,nil,nil,nil,1,12
FACULTY_OF_SCIENCE,nil,stands,nil,no,nil,1,16
FACULTY_OF_SCIENCE,nil,stands,no,no,nil,2,22
FACULTY_OF_SCIENCE,nil,stands,yes,yes,nil,1,12
JOCK_MARSHALL_RESERVE,nil,nil,nil,nil,nil,1,0
LIBRARY_HARGRAVE_ANDREW,nil,nil,nil,nil,nil,2,38
LIBRARY_HARGRAVE_ANDREW,nil,stands,yes,no,nil,1,14
MONASH_COLLEGE,nil,stands,nil,no,nil,1,10
MONASH_COLLEGE,nil,stands,yes,no,nil,3,54
MONASH_SPORT,nil,nil,nil,nil,nil,3,22
MONASH_SPORT,nil,nil,yes,yes,nil,1,4
MONASH_SPORT,nil,stands,nil,nil,nil,1,12
MONASH_SUSTAINABLE_DEVELOPMENT,nil,stands,nil,no,nil,1,12
PARKING_N1_W1,nil,stands,nil,yes,nil,1,12
PARKING_N1_W1,nil,stands,yes,no,nil,1,16
PARKING_N1_W1,permit,building,yes,yes,yes,1,143
PARKING_SE1_SE2_SE3,nil,stands,nil,no,nil,1,86
PARKING_SE1_SE2_SE3,permit,building,yes,yes,nil,1,98
RESIDENTIAL_SERVICES,nil,nil,nil,nil,nil,3,62
RESIDENTIAL_SERVICES,nil,nil,nil,yes,nil,1,54
RESIDENTIAL_SERVICES,nil,nil,yes,yes,nil,1,16
RESIDENTIAL_SERVICES,nil,stands,nil,nil,nil,1,10
RESIDENTIAL_SERVICES,nil,stands,nil,no,nil,1,10
RESIDENTIAL_SERVICES,nil,stands,nil,yes,nil,4,92
RESIDENTIAL_SERVICES,nil,stands,no,no,nil,3,64
RESIDENTIAL_SERVICES,nil,stands,yes,no,nil,2,56
RESIDENTIAL_SERVICES,nil,stands,yes,yes,nil,1,10
RESIDENTIAL_SERVICES,residents,building,nil,nil,yes,1,0
RESIDENTIAL_SERVICES,residents,building,yes,yes,nil,3,0
RESIDENTIAL_SERVICES,residents,building,yes,yes,yes,2,0
RESIDENTIAL_SERVICES,residents,shed,nil,yes,yes,2,64
SOUTH_EAST_FLATS,nil,stands,nil,no,nil,1,10
SOUTH_EAST_FLATS,nil,stands,nil,yes,nil,1,28
UNIVERSITY_BUSINESS_PARK,nil,nil,nil,no,nil,1,6
UNIVERSITY_BUSINESS_PARK,nil,nil,nil,yes,nil,4,22
UNIVERSITY_BUSINESS_PARK,private,nil,nil,yes,nil,1,8
